"no_de_solicitud","fecha_de_creaci_n","tipo_de_solicitud","es_anonima","descripci_n_de_la_solicitud","estado","fue_delegada","origen"
"209885935106","20 enero 2022 12:17:06","Sugerencia","SI","Como pueod pagar una factura por pse","Cerrada","NO","Chat"
"209877622406","20 enero 2022 11:27:33","Sugerencia","SI","Buenos días. Por favor me informan cuándo puedo obtener el paz y salvo del impuesto predial 2021 y cuándo puedo pagar los impuestos.","Cerrada","NO","Chat"
"209866250406","20 enero 2022 09:29:31","Sugerencia","SI","Necesitamos averiguar por el estado de cuenta de impuesto predial de la casa con cedula catrastal 01-01-0128-0009-801

agardecemos su amable respuesta","Cerrada","NO","Chat"
"209856467506","19 enero 2022 10:34:47","Sugerencia","SI","Buenos días por favor me envían recibo de pago del impuesto predial cédula Carrasco 010303630022801 gracias","Cerrada","NO","Chat"
"199875218806","19 enero 2022 09:59:52","Sugerencia","SI","Solicito liquidación impuesto predial de  la casa 10 manzana 1a villa del sol","Cerrada","NO","Chat"
"199867380204","18 enero 2022 06:10:04","Reclamo","NO","Buenas tardes. Necesito pagar impuesto predial de casa en Flandes. Consultando todos los medios de comunicación dados en la pagina web de la alcaldía, me encuentro con que , ningún celular de los mencionados esta en uso, los correo electrónicos , a donde se envían mensajes y nunca contestan. Total , ninguna información de contacto solicitada sirve.","Cerrada","NO","PQRDS"
"199857353006","18 enero 2022 05:27:50","Sugerencia","SI","Buenas tardes","Cerrada","NO","Chat"
"199844636102","18 enero 2022 04:11:17","Petición","NO","Buenas tardes, 
Radique una querella No.  IMP-673-2021, CITATORIO  querella RAD.042-21 de fecha Mayo 05 de 2021, querella la cual No ha se tomado una decision Final, en el mes de Diciembre el inspector iba a dar su fallo Final, pero por motivos del reinado local fue cancelada dicha audiencia, radique un reclamo No. 18888333367104, ahora radico este Derecho de petición para que por favor me informen, fecha de la ultima audiencia para la solución del problema de basuras. 
Adjunto radico de querella con  el reclamo interpuesto el cual No fué respondido.","Abierta","SI","PQRDS"
"199834234606","18 enero 2022 03:23:46","Sugerencia","SI","Cordial saludo, solicito el recibo del impuesto predial 2021","Cerrada","NO","Chat"
"199823447006","18 enero 2022 01:28:27","Sugerencia","SI","Buenas tardes. Podría indicarme el link para descargar el impuesto predial, por favor.","Cerrada","NO","Chat"
"199812713706","18 enero 2022 12:04:34","Sugerencia","SI","Buen día! Quisiera saber el proceso de reconocimiento de una licencia de construcción (371 de 2021), la cuál llevo mes y medio y no ha Sido cargado el documento","Abierta","SI","Chat"
"199809876806","18 enero 2022 11:58:20","Sugerencia","SI","189694868906, respuesta
Cordial saludo
Me indicaron que a partir del 17 de 
enero estaba habilitado el calendario tributario, pero no esta.","Cerrada","NO","Chat"
"199793499806","18 enero 2022 08:53:46","Sugerencia","SI","buenos dias quiero saber como sacar el recibo del impuesto predial","Cerrada","NO","Chat"
"189808500306","17 enero 2022 04:14:51","Sugerencia","SI","Solicitud de impuesto predial","Cerrada","NO","Chat"
"189791673606","17 enero 2022 12:00:28","Sugerencia","SI","Solicito una copia del recibo de pago del impuesto predial del año 2021 del lote de mi propiedad ubicado en el condominio Santa Ana, kilometro 5 via flandes Espinal, Segundo Sector , manzana E lote 02.","Cerrada","NO","Chat"
"189787630206","17 enero 2022 08:06:19","Sugerencia","SI","Necesito bajar el formulario para pagar el impuesto predial de la casa manzana 7 casa 21 del barrio San Germán el palmar código catastral 010301450007000

Gracias

Lourdes Ospina Riaño","Cerrada","NO","Chat"
"189771925706","16 enero 2022 09:17:24","Sugerencia","SI","Demanda por alimentos","Cerrada","NO","Chat"
"189767762105","16 enero 2022 07:00:09","Denuncia","NO","Señores: 

INSPECCIÓN MUNICIPAL DE POLICÍA FLANDES TOLIMA   
E.        S.        D. 

Ref: QUERELLA POLICIVA – PERTURBACIÓN  A LA TENENCIA 

Respetados señores con un cordial saludo. Por la naturaleza del asunto y por la vecindad de las partes y por la ubicación del inmueble, es usted la autoridad policiva competente para conocer de la presente querella. 

En el adjunto comparto carta con la narración de los hechos, agradezco enviarme al correo el radicado  
quedo atenta al procedimiento. 


Envió por este medio por que el correo de la inspección  rebota los correos radico por este medio para transferir a la oficina que le compete mi tramite  

Cordialmente 
                                                                           
ZULY YOLIMA SIERRA MARTINEZ 
C.C. 52.981.949 de Bogotá 
Correo electrónico: zulyyolima_9 @hottmail.com 
Teléfono 3103062685 
Propietaria Predio MZ 30 CS 5 Barrio Quintas de Flandes","Abierta","SI","PQRDS"
"189757418606","15 enero 2022 04:09:54","Sugerencia","SI","Solicitar factura de pago de Impuesto  Predial  de T 2 Apto. 104  de  Condominio residencial  Casas  del Sol de Flandes Tolima a Nombre de Maria Angelica  Medina","Cerrada","NO","Chat"
"189742770706","15 enero 2022 03:57:56","Sugerencia","SI","por favor me envían el recibo para pagar el  impuesto predial de: T2 Apto. 104 Cond. Residencial Casas del sol Cedula catastral: 010103260018901  a nombre de MARIA ANGELICA MEDINA","Cerrada","NO","Chat"
"189731495006","14 enero 2022 07:11:47","Sugerencia","SI","buenas noches para pedir el favor que se me sea enviado 
a Mi correo recibo del impuesto predial año 2022 ,casa ubicada conjunto residencial santa Martha casa L4 mi nombre es Carlos Alberto ramirez guerrero  con c.c. 93.085.712  muy amable por su gestion","Cerrada","NO","Chat"
"189729440306","14 enero 2022 05:25:56","Sugerencia","SI","Solicitud impuesto prediql","Cerrada","NO","Chat"
"189713167202","14 enero 2022 03:54:16","Petición","NO","por favor enviarme el estado de cuenta del impuesto predial a la fecha del predio identificado con Cédula catastral 73-275-01-03-00-00-0251-0003-8-01-00-0000.  Conjunto residencial San Andres, casa 208 Me veo en la obligación de solicitarlo por este medio, pues no fue posible comunicación telefónica con la Secretaria de Hacienda del municipio de Flandes. POR FAVOR ENVIARLO ELECTRONICAMENTE AL SIGUIENTE CORREO:  argemiro.01@hotmail.com   o fisicamente  a la Diag.46 Sur N° 53 A 50. piso 3 barrio Venecia Bogota.","Cerrada","NO","PQRDS"
"189702732306","14 enero 2022 09:57:29","Sugerencia","SI","Buendía . Quisiera saber si ya está disponible la factura de pago para impuesto predial  año 2022. Cédula catastral 000100053409801 Gloria Dignory Acevedo","Cerrada","NO","Chat"
"189694868906","14 enero 2022 09:05:47","Sugerencia","SI","Apreciados señores;

Por favor solicito muy amablemente su ayuda con el envío del calendario tributario del año 2022

Muchas gracias

 

Cordialmente,","Cerrada","NO","Chat"
"189681974106","14 enero 2022 07:53:37","Sugerencia","SI","Por favor me enviaran la factira de cobro del impuesto 2022. No la puedo bajat por intetnet
Rosario del Pilar Castillo Sánchez
Cedula 51950238
Manzana 6 casa 25 A los almendros","Cerrada","NO","Chat"
"189672961306","13 enero 2022 04:57:54","Sugerencia","SI","Quiero saber el puntaje de mi sisben","Cerrada","NO","Chat"
"189669150806","13 enero 2022 03:12:35","Sugerencia","SI","Solicito enviar al correo marisol.pulido@autovia.com.co la información tributaria correspondiente al año 2022","Cerrada","NO","Chat"
"189652554606","13 enero 2022 02:20:31","Sugerencia","SI","Solicitud impuestos en mora de un lote","Cerrada","NO","Chat"
"189643969706","13 enero 2022 12:17:19","Sugerencia","SI","Consultar factura y fechas de pago impuesto predial","Cerrada","NO","Chat"
"189632784416","13 enero 2022 10:04:48","Sugerencia","SI","No encontre lo que buscaba (PAGO DEL IMPUESTO PREDIAL UNIFICADO - APP): No ha sido posible imprimir el impuesto predial 2022.","Cerrada","NO","FeedBack"
"189629450016","13 enero 2022 10:04:17","Sugerencia","SI","No encontre lo que buscaba (PAGO DEL IMPUESTO PREDIAL UNIFICADO - APP): No ha sido posible imprimir el impuesto predial 2022.","Cerrada","NO","FeedBack"
"189612713316","13 enero 2022 07:55:28","Sugerencia","SI","No encontre lo que buscaba (Chat Institucional): Buenos dias solicito copia del recibo pago de impuestos año 2022","Cerrada","NO","FeedBack"
"189601717106","13 enero 2022 07:53:36","Sugerencia","SI","Buenos días solicito de la manera, más respetuosa de copia del recibo de pago de impuesto 2022 o los loamientos a seguir para poder descargarlo en la página de la alcaldía por que busque y no logre acceder gracias","Cerrada","NO","Chat"
"189595705506","12 enero 2022 07:07:31","Sugerencia","SI","Buenos dìas,

Comedidamente me permito solicitar calendario tributario vigencia 2022.

Cordialmente,
Diana Aya","Cerrada","NO","Chat"
"189587621502","12 enero 2022 03:38:49","Petición","NO","solicito por favor un certificado de avaluo catastral del inmueble cedula catastral 73-275-01-03-00-00-0017-0002-0-00-00-0000 nombre del propietario GARZON RODRIGUEZ LUIS FRANCISCO para trámite de sucesión.

gracias.","Cerrada","NO","PQRDS"
"189571595302","12 enero 2022 12:30:39","Petición","NO","Buenas tardes ; 
Solicito su colaboración informándome si el proyecto o el loteo que se está realizando en Flandes Tolima llamado los cerezos es legal o por el contrario el vendedor el señor Jorge Rafael Vargas está vendiendo y loteando ilegalmente . 
Gracias","Cerrada","SI","PQRDS"
"189567273506","12 enero 2022 09:47:34","Sugerencia","SI","Nesecito un cupo por favor para menor de 3 años","Cerrada","NO","Chat"
"189556429706","11 enero 2022 10:08:22","Sugerencia","SI","Impuesto predial","Cerrada","NO","Chat"
"189547078806","11 enero 2022 07:18:47","Sugerencia","SI","Reciba un cordial saludo,  quisiera sa donde se puede ir a tomar la prueba de covid-19 en Flandes? Gracias","Cerrada","NO","Chat"
"189539537406","11 enero 2022 06:01:57","Sugerencia","SI","Hola buenas tarde quería saber si yo estoy beneficiaria de un programa de gobierno gracias le agradezco","Cerrada","NO","Chat"
"189529778906","11 enero 2022 03:30:13","Sugerencia","SI","Buenas tardes tengo a mi mamá enferma con síntomas de covid en Flandes Tolima llamamos al puesto de salud pero dicen que no van a tomar la prueba ya que ella tiene Sisben en Bogotá pero en estos momentos están en Flandes. uds. Me pueden ayudar para que le tomen esa prueba. Ella está en una vivienda sola con mi padre y ambos son mayores de edad y enfermos. Viven hace dos años en Flandes y tienen portabilidad del servicio médico girardot, pero ahora no pueden moverse ya que están muy enfermos. 
Ahora están solos y lejos sin nadie que los cuide ya que estoy en Bogotá por motivos laborales porfavor me colaboran con la prueba o me orienta porfavor. Muchas gracias","Cerrada","SI","Chat"
"189503755301","11 enero 2022 12:16:18","Solicitud de información","NO","Buenos días.
Necesito pagar el impuesto predial pero veo que no está habilitada la página para realizar este proceso. También necesito un paz y salvo de Hacienda.  Cuánto se demoran en expedirlo? Vivo en Bogotá. En qué horario puedo ir a las oficinas en Flandes? 
Gracias por su atención.","Cerrada","NO","PQRDS"
"189497774706","11 enero 2022 11:57:51","Sugerencia","SI","SOLICITUD DE IMPUESTO PREDIAL MATRICULA 357-57539","Cerrada","NO","Chat"
"189485730106","11 enero 2022 10:54:44","Sugerencia","SI","Buenos días. Cuándo puedo pagar el impuesto predial? Cuándo puedo ir a la alcaldía para solicitar un certificado de paz y salvo por concepto de impuesto predial?","Cerrada","NO","Chat"
"189476626506","11 enero 2022 10:40:16","Sugerencia","SI","buenos dias necesito saber como puedo descargar impuesto predial de faldes tolima","Cerrada","NO","Chat"
"189461366206","11 enero 2022 10:00:49","Sugerencia","SI","Requiero el recibo del impuesto predial 2022.","Cerrada","NO","Chat"
"189459205202","11 enero 2022 09:00:12","Petición","NO","SOLICITUD NORMATIVIDAD VIGENTE 2021 INFORMACIÓN EXOGENA","Cerrada","SI","PQRDS"
"189443820306","11 enero 2022 08:44:32","Sugerencia","SI","Buen día, quisiera saber como aumento el autoavaluo en el impuesto predial","Cerrada","NO","Chat"
"189432606406","11 enero 2022 08:25:02","Sugerencia","SI","Quisiera saber cómo pagar el impuesto predial 2022 para adelantar un trámite de venta.","Cerrada","NO","Chat"
"189422353406","10 enero 2022 07:58:54","Sugerencia","SI","Solicito me colaboren con el recibo para pago de los impuestos que se deben del predio en el conjunto residencial aragon IV casa H7 propietaria Helena Isabel Bejarano Torres c.c. 39542998 tel 3164433614","Cerrada","NO","Chat"
"189415983204","10 enero 2022 06:27:19","Reclamo","NO","Buenas tardes, mediante la presenta me comunicó para informar de la inseguridad que se está viviendo en la vereda camala y sus alrededores, por ello pedimos de la colaboración de la autoridades competentes para darle solución a esta problemática. La inseguridad abarca delitos de hurto en las carreteras de las veredas y fincas de la misma, dichos delincuentes llevan acabo sus hurtos con armas en mano y sin piedad alguna.
Agradecemos una pronta respuesta.
Gracias..","Abierta","SI","PQRDS"
"189403097506","09 enero 2022 05:56:35","Sugerencia","SI","Buenas tardes quisiera información sobre familias en acción cuando hay inscripciones y que documentos debo llevar gracias.","Cerrada","NO","Chat"
"189397676206","09 enero 2022 09:24:52","Sugerencia","SI","Hola buenas tardes quería saber si yo salgo en ingresos solidario","Cerrada","NO","Chat"
"189376935406","08 enero 2022 05:18:24","Sugerencia","SI","IMPOSIBLE BAJAR PREDIAL 2022","Cerrada","NO","Chat"
"189367593206","07 enero 2022 07:27:46","Sugerencia","SI","Muy buenas tardes:

Solicito de su colaboración con los documentos para la inscripción, declaración y certificación bancaria para el pago del impuesto de industria y comercio, adicional indicándome cual es la fecha oportuna de pago.","Abierta","SI","Chat"
"189351700006","07 enero 2022 11:13:54","Sugerencia","SI","buneas tardes IMPUESTO PREDIAL","Cerrada","NO","Chat"
"189342765202","07 enero 2022 10:36:20","Petición","NO","Se adjunta derecho de petición - solicitud información tributaria.

Bogotá D.C., 30 de noviembre de 2021.
Señores:
ALCALDIA – MUNICIPIO FLANDES
Secretaria de Hacienda
Ciudad
Asunto: Derecho de Petición Art. 23 Constitución Política de Colombia de 1991 – Solicitud de
Información Tributaria.
El suscrito, identificado como aparece al pie de mi firma, obrando en mi condición de representante legal de FIDUCIARIA
CORFICOLOMBIANA S.A. NIT 800.140.887-8, (en adelante “la “Fiduciaria”) conforme lo demuestro con el certificado de
existencia y representación legal adjunto, actuando en nombre propio y en calidad de vocera y administradora de
PATRIMONIOS AUTÓNOMOS FIDUCIARIA CORFICOLOMBIANA NIT 800.256.769-6, en adelante “Patrimonio Autónomo”,
por medio del presente documento me permito presentar DERECHO DE PETICION consagrado en el artículo 23 de la
Constitución Política de Colombia y demás normas concordantes del Código de Procedimiento Administrativo y de lo
Contencioso Administrativo, de acuerdo a los siguientes:
I. PETICIONES.
De manera respetuosa solicito nos remitan la siguiente información relacionada con el cumplimiento de obligaciones
formales y sustanciales en el MUNIDIPIO DE FLANDES:
• Copia y detalle de la normatividad Vigente
• Confirmar procedimiento y obligatoriedad del Registro y/o inscripción para agentes de retención del impuesto
de industria y comercio.
• Copia de Resolución y/o documento que establece el cronograma de vencimientos de las diferentes
obligaciones tributarias.
• Confirmar si es necesaria la presentación de declaraciones en 0.
• Mecanismo habilitado para la presentación y pago de declaraciones de retención de ICA.
• Formulario para la inscripción.
• RUT del Municipio
• Formulario de declaración de retenciones de industria y comercio.
• Certificación cuenta bancaria para el pago de retenciones de industria y comercio.
• Confirmar si existe obligación de presentación de información exógena, indicar Resolución e información a
reportar, así como el calendario de vencimiento para la presentación.
• Datos de contacto para resolver dudas técnicas y operativas: correo electrónico y No. Telefónico de contacto.
II. FUNDAMENTOS DE DERECHO:
- RESPECTO AL DERECHO FUNDAMENTAL DE PETICION
La Constitución Política de 1991 consagra, dentro del catálogo de Derechos Fundamentales, el Derecho Fundamental de
Petición en el artículo 23 así:
“Toda persona tiene derecho a presentar peticiones respetuosas a las autoridades por motivos de interés general o particular
y a obtener pronta resolución. El legislador podrá reglamentar su ejercicio ante organizaciones privadas para garantizar los
derechos fundamentales.”

III. NOTIFICACIONES.
El suscrito peticionario recibe notificaciones en la Dirección Carrera 13 # 26 – 45 piso 1 de la ciudad de Bogotá D.C. y en el
Correo electrónico: direccion.impuestos@fiduciariacorficolombiana.com
Sin otro particular agradezco por la amable atención y quedo atento a su oportuna respuesta.
Atentamente,
JOSÉ ANDRES GÓMEZ ALFONSO
C.C. 80.730.157 de Bogotá D.C.
Representante Legal FIDUCIARIA CORFICOLOMBIANA S.A NIT: 800.140.887-8 en nombre propio y actuando como vocera y
administradora de PATRIMONIOS AUTONOMOS FIDUCIARIA CORFICOLOMBIANA S.A NIT 800.256.769-","Cerrada","SI","PQRDS"
"189337076206","07 enero 2022 09:33:42","Sugerencia","SI","Buenos dias 
NO he recibido respuesta a la queja No. 188833367104, estoy atenta.","Abierta","SI","Chat"
"189322984216","06 enero 2022 06:17:16","Sugerencia","SI","No encontre lo que buscaba (CONTINUAMOS CON LOS DESCUENTOS Y ALIVIOS EN LOS PAGOS DE IMPUESTOS): FUE IMPOSIBLE DESCARGAR PREDIAL 2022","Cerrada","NO","FeedBack"
"189319314406","06 enero 2022 06:14:35","Sugerencia","SI","BUENAS, NECESITO DESCARGAR LA FACTURA DE PAGO DE IMPUESTO PREDIAL 2022, DE MI INMUEBLE. MATRICULA INM. 357-64415 CODIGO CATASTRAL : 000100054505808 NO HA SIDO POSIBLE POR LA SEDE ELECTRÓNICA. SI PUDIERAN ENVIARLO A MI CORREO eralroes@gmail.com MUCHAS GRACIAS, ERNESTO A. RODRIGUEZ ESCOBAR. C.C. No. 396.729","Cerrada","NO","Chat"
"189305351206","06 enero 2022 04:41:36","Sugerencia","SI","Por favor me pueden informar las fechas para presentar la declaración de Retencion y Autorretencion bimestral-","Cerrada","NO","Chat"
"189297565106","06 enero 2022 04:19:12","Sugerencia","SI","buenas tardes, quisiera solicitar a ustedes muy amablemente me puedan enviar por favor los recibos de los impuestos prediales que tengo en el condominio sol y brisa del municipio de Flandes; para cancelarlos  ya que e tratado de averiguarlos en la pagina y no a sido posible.
me encuentro radicada en chía/Cundinamarca
lote 1 MZ 1A N.º catastral 000100020833803
lote 5 MZ 2A N.º catastral 000100020837803
que son de mi propiedad. Les agradezco de antemano su colaboración y respuesta
cordialmente
Claudia cristina Cardona pimienta.
CC 43561584
cel.: 313 808 29 65","Cerrada","NO","Chat"
"189287473206","06 enero 2022 03:03:28","Sugerencia","SI","Buenas tardes, deseo saber por que la piscina de parques de alejandria 3 no cumple con los protocolos establecidos el piscinero no cuenta con certificados de primeros auxilios y los avisos informativos están deteriorados y la administradora no hace nada ya se había informado sobre esta situación seria importante realizar una inspección","Abierta","SI","Chat"
"189278351106","06 enero 2022 02:45:04","Sugerencia","SI","FECHAS Y DESCUENTOS PARA PRESENTACION DEL ICA POR EL AÑO 2021","Cerrada","NO","Chat"
"189261054406","06 enero 2022 01:24:04","Sugerencia","SI","Solicitud de factura de impuesto predial","Cerrada","NO","Chat"
"189258698606","06 enero 2022 12:36:09","Sugerencia","SI","Buena tarde, quiero saber ¿Dónde puedo encontrar el directorio turístico con lugares de hospedaje?","Cerrada","NO","Chat"
"189247445506","06 enero 2022 09:22:51","Sugerencia","SI","Buenos días 
Por favor. hay vacunación hoy 6 de Enero 2022
Sinovac niños que sitio ?  Horario 
Agradezco atención prestada","Cerrada","NO","Chat"
"189236982706","05 enero 2022 06:03:33","Sugerencia","SI","Solicito saber cuanto pagar de Impuesto Predial Mi nombre Maria del Pilar Lopez Zuluaga, c.c. 51556642,Aragon 2. Manzana 2, Casa N. Mi telefono 3115415882","Cerrada","NO","Chat"
"189224599401","05 enero 2022 02:00:40","Solicitud de información","NO","Estado de cuenta pago predial 2021, al digitar la cedula catastral del predio 010102660231901 no me genera factura para el 2021 y se desea saber si el pago aun esta pendiente. Gracias","Cerrada","NO","PQRDS"
"189218514406","05 enero 2022 12:50:53","Sugerencia","SI","3022302764","Cerrada","NO","Chat"
"123538092406","13 marzo 2021 10:18:12","Sugerencia","SI","impuesto predial","Cerrada","NO","Chat"
"189209155302","05 enero 2022 10:36:35","Petición","NO","He enviado por este medio  derecho de peticion a ESPUFLAN desde el 9 de septiembre Reclamo #36096, que fue solucionado con el Vactor, luegoante la lluvia persiste la problematica y envio otro derecho de peticion  el 9 de diciembre de 2021 reclamo # 36659 argumentado con 4 fotos sin tener respuesta alguna, el dia 17 de diciembre vuelvo e insisto reclamo #36701, el dia 23 de diciembre aparecieron con una visita rustica y colocan postes señalizadores sin ninguna solucion, el dia de ayer me llega un correo anunciandome en respuesta del reclamo #36659 que  se programara y ajustara al cronograma  de actividades, el cambio de la red en tuberia NOVAFORT 18 ml de 12  pulgadas, pero no dicen cuando, las aguas ya se desbordaron del pozo de la  alcantarilla, los cifones internos seesta rebotando en las residencias y a nuestra manera de ver ya las aguas negras no estan evacuando debidamente, creando creando circulacion en la via de aguas contaminadas y brotes de enfermedades por las aguas y los malos olores, esperamos su pronta intervencion para una solucion definitiva y perdurable. 
Agradeciendo su pronta gestion  me suscribo Luis Eduardo Amortegui Valdes leav1962@gmail.com  celular 3003746767 Direccion Cra 9B #3S-36 Barrio La Paz Flandes Tolima","Cerrada","NO","PQRDS"
"189193191106","04 enero 2022 09:45:01","Sugerencia","SI","Buenas noches, como puedo solicitar el paz y salvo del impuesto predial de 2021.
Gracias","Cerrada","NO","Chat"
"189187570906","04 enero 2022 05:44:27","Sugerencia","SI","Buenas tardes, quisiera conocer cual es el proceso para el pago de ICA del año 2021 y hasta cuando hay plazo para cancelarlo.","Cerrada","SI","Chat"
"189177906006","04 enero 2022 05:34:12","Sugerencia","SI","ofrezco el servicio  de gestión documental , MIPG  soy Administradora Pública  mi nombre Luz Angela rivera  cuento con el talento idóneo para realizar todo lo relacionado con gestión documental de una empresa o entidad estatal   contacto 3214636259 y también contamos  con profesional  en comunicación social  y manejo  de redes sociales","Abierta","SI","Chat"
"189166477006","03 enero 2022 04:48:52","Sugerencia","SI","buenas tardes necesito que me generen la factura para terminar de pagar lo acordado es por 1.136.000 FACTURA DE COBRO DEL IMPUESTO PREDIAL No 2021124589 referencia 102979220211245892018011
Mz D Cs 8 IV Et ARAGON  Código postal factura 283-21 agradezco 
blanca Fanny cárdenas","Cerrada","NO","Chat"
"189153574006","03 enero 2022 11:56:33","Sugerencia","SI","Buen día, Necesito el recibo del impuesto predial. ¿donde lo puedo encontrar? ¿donde lo puedo solicitar?","Cerrada","NO","Chat"
"189146316806","03 enero 2022 09:58:41","Sugerencia","SI","Buenos días

Solicito amablemente sea envíado el calendario tributario del año 2022 para dar cumplimiento a las obligaciones correspondientes al municipio, 

Cordialmente","Cerrada","NO","Chat"
"189136807206","31 diciembre 2021 11:00:15","Sugerencia","SI","Solicitud de paz y salvo","Cerrada","NO","Chat"
"189124101402","30 diciembre 2021 05:39:46","Petición","NO","ESTOY HACIENDO HASTA LO IMPOSIBLE DE RADICAR UNA RESPUESTA DE LA REPUESTA QUE DIO LA SECRETARIA HACIENDA MUNICIPAL Y NO HE PODIDO, ME PUEDES EN DARME EL CORREO ELECTRÓNICO DEL ALCALDE MUNICIPAL DE FLANDES - TOLIMA. GRACIAS","Cerrada","NO","PQRDS"
"189116120506","30 diciembre 2021 04:34:39","Sugerencia","SI","Buenas tardes hablan con fanny cárdenas hice un acuerdo de pago con la alcaldía nepsecito que me generen el recibo según debo pagar 1'136.000 cómo debo cancelar 
Dirección Mz D Vs 8 IV Et Aragón ya cancele 1'798.800 adeudo 1'136.700 agradezco me hagan llegó la factura a mi correo","Cerrada","NO","Chat"
"189106537302","30 diciembre 2021 03:03:54","Petición","NO","Me dirijo a ustedes con el fin de dar a conocer la situación en la que me encuentro debido al rebosamiento de aguas negras provenientes del alcantarillado frente a mi residencia , que esta ubicada en: Barrio Orquídeas 2 manzana 15 casa 3. Ocasionando a todos los habitantes de la casa que corresponden a niños, mi mamá quien es una señora de 72 años y demás adultos como yo y mis hermanos.

Esta situación se ha venido presentando reiteradamente y pese que algunos vecinos han dado la misma información, no hemos obtenido una solución concreta. El represamiento del agua puede afectar a nuestra salud debido a los insectos ya conocidos como el dengue, sika o chikungunya, también los malos olores representan un gran problema para nuestra salud respiratoria. 
Tememos por la salud de nuestra familia y residentes del barrio.

Pedimos que nos solucionen este problema lo más pronto posible.","Abierta","SI","PQRDS"
"189093179506","30 diciembre 2021 01:02:56","Sugerencia","SI","necesito copia del predial de una casa en aragón flandes","Cerrada","NO","Chat"
"189083783416","30 diciembre 2021 11:19:11","Sugerencia","SI","No encontre lo que buscaba (Cómo pagar Impuesto Predial en Línea): Estoy tratando de descargar el impuesto predial para pagarlo y no ha sido posible.","Cerrada","NO","FeedBack"
"189072014906","30 diciembre 2021 08:41:18","Sugerencia","SI","pago impuesto","Cerrada","NO","Chat"
"189065532206","29 diciembre 2021 03:53:45","Sugerencia","SI","Como puedo liquidar el impuesto predial","Cerrada","NO","Chat"
"189057016816","29 diciembre 2021 01:41:53","Sugerencia","SI","No encontre lo que buscaba (Listado de Notificaciones de Impuesto Predial): El impuesto de mi mama albaneris clavijo corredor c.c.36588696","Cerrada","NO","FeedBack"
"189043397806","29 diciembre 2021 01:33:33","Sugerencia","SI","Impuesto predial c.c 36588696","Cerrada","NO","Chat"
"189031690606","28 diciembre 2021 05:51:25","Sugerencia","SI","Hola buenas tardes para solicitar un paz y salvo de impuestos predial y valorización de una casa de Flandes Tolima","Cerrada","NO","Chat"
"189028143006","28 diciembre 2021 04:08:51","Sugerencia","SI","Solicitud formularios industria y comercio, acuerdo rentas y cuenta bancaria para pagos.","Cerrada","NO","Chat"
"189013837206","28 diciembre 2021 02:21:19","Sugerencia","SI","necesito saber y en el municipio de Flandes se liquida valorizacion y si por este medio me pueden enviar un paz y salvo por valorizacion","Cerrada","NO","Chat"
"189009464006","28 diciembre 2021 11:32:26","Sugerencia","SI","SOLICITUD PAZ Y SALVO DE VALORIZACION","Cerrada","NO","Chat"
"188997740406","28 diciembre 2021 11:17:50","Sugerencia","SI","por favorm e ayudan necesito pagar el impuestro predial pero no esta habilitada la pagina que hago?","Cerrada","NO","Chat"
"188986255306","28 diciembre 2021 09:42:05","Sugerencia","SI","quiero bajar el recibo del impuesto predial de un inmueble de flandes","Cerrada","SI","Chat"
"188974227306","28 diciembre 2021 08:45:23","Sugerencia","SI","Buen día, necesito copia del impuesto predial del año 2019","Cerrada","NO","Chat"
"188967966706","27 diciembre 2021 09:41:49","Sugerencia","SI","Solicito información sobre descuentos en impuesto predial","Cerrada","NO","Chat"
"188947017106","27 diciembre 2021 11:15:27","Sugerencia","SI","Por favor me indican documentos y proceso para pagar impuesto de industria y comercio","Cerrada","SI","Chat"
"188939827606","27 diciembre 2021 09:25:11","Sugerencia","SI","Inquietud inmueble","Cerrada","NO","Chat"
"188927031306","27 diciembre 2021 08:54:54","Sugerencia","SI","Buenos días, gracias me gustaría saber donde están realizando pruebas COVID 19, PCR, el 29 a 31 de diciembre de 2021, gracias","Cerrada","NO","Chat"
"188918770406","27 diciembre 2021 08:41:01","Sugerencia","SI","INQUIETUD PREDIO","Cerrada","NO","Chat"
"188905987601","27 diciembre 2021 08:40:19","Solicitud de información","NO","Buen día señores Alcaldía Flandes, solicito su amable colaboración para confirmar la legalidad y permisos del predio Lote No. de la Victoria (Vereda Paradero No. 1 - Flandes, Tolima), proceso que se encuentra en la compra del mismo por parte del Sr. Jimmy Leonardo Ramírez Castro CC 1.122.127.907.
Datos del inmueble:
- Lore No. 9 La Victoria
- Matricula Inmobiliaria No. 357-0026786

Lo anterior, dado que me encuentro interesado en adquirir uno de estos lotes y requiero constatar la veracidad de la información, para lo cual debo estar seguro de la legalidad del lote sin que ello pueda afectar mis intereses personales.","Cerrada","SI","PQRDS"
"188897331306","25 diciembre 2021 02:48:26","Sugerencia","SI","Buen día, por medio del presente solicito amablemente el certificado de paz y salvo por concepto de impuestos del lote con cedula catastral 01-03-0042-0016-000 ubicado en la dirección calle 6d 4a 21 Mz 5 Lo 5 Ur Quintas de flandes a nombre de Crisanto Guzman Hernandez, identificado con cedula de ciudadania 19.345.923

Agradezco la atención prestada","Cerrada","NO","Chat"
"188882806706","23 diciembre 2021 04:30:59","Sugerencia","SI","favor  contactar para expedir recibo de impuesto predial de predio  c cat. 01-02-0044-0010-000. cc titular  20.874.164 y  20.874.170","Abierta","NO","Chat"
